#solverEAIterated,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value,Upper bound value,
von_koch-random-60-2,1,209,9717,4787,30,913755477162,13109.204729,
von_koch-random-60-2,2,246,13518,6665,25,941822709773,11542.581432,
von_koch-random-60-2,2,246,13518,6665,30,917217289378,14732.536950,
von_koch-random-60-5,0,193,7031,3462,25,930798896720,979231.112078,
von_koch-random-60-5,0,193,7031,3462,30,941954648120,1179523.727744,
von_koch-random-60-5,1,209,8390,4132,25,950530769567,1032574.483996,
von_koch-random-60-5,1,209,8390,4132,30,948982942665,1252208.155218,
von_koch-random-60-5,2,246,11869,5850,25,914261893163,1147823.831465,
von_koch-random-60-5,2,246,11869,5850,30,950088896826,1416307.860743,
random-x-monotone-55-1337,0,158,5948,2950,25,923750041275,75005.191254,
random-x-monotone-55-1337,0,158,5948,2950,30,931916782988,92591.901420,
random-x-monotone-55-1337,1,172,6820,3379,25,925081485235,77877.771202,
random-x-monotone-55-1337,1,172,6820,3379,30,936685859188,96842.317546,
random-x-monotone-55-1337,2,205,9073,4489,25,936722074762,83419.473308,
random-x-monotone-55-1337,2,205,9073,4489,30,909262156581,104477.252787,
von_koch-random-60-4,0,193,7654,3764,25,936522585691,76493.621892,
von_koch-random-60-4,0,193,7654,3764,30,950871761308,96252.283743,
von_koch-random-60-4,1,209,8986,4418,25,954306294415,79858.245513,
von_koch-random-60-4,1,209,8986,4418,30,923831784565,99853.205202,
von_koch-random-60-4,2,246,11435,5621,25,916185334067,89269.306307,
von_koch-random-60-4,2,246,11435,5621,30,938856477116,109448.620956,
von_koch-random-60-3,0,193,6361,3129,25,930477646881,27414.992195,
von_koch-random-60-3,0,193,6361,3129,30,934001411255,33476.007696,
von_koch-random-60-3,1,209,7494,3685,25,928483280863,29506.484986,
von_koch-random-60-3,1,209,7494,3685,30,933627881285,36003.243671,
von_koch-random-60-3,2,246,10551,5190,25,928353882452,32944.249990,
von_koch-random-60-3,2,246,10551,5190,30,924311393174,40845.768578,
von_koch-random-55-5,0,163,5896,2908,25,930577524130,969252.448894,
von_koch-random-55-5,0,163,5896,2908,30,933263028725,1201739.660604,
von_koch-random-55-5,1,179,7008,3453,25,926652447184,1076665.788252,
von_koch-random-55-5,1,179,7008,3453,30,951627422572,1312102.652060,
von_koch-random-55-5,2,213,9808,4831,25,940919784424,1209577.854987,
von_koch-random-55-5,2,213,9808,4831,30,919407966402,1480188.155894,
von_koch-random-55-2,0,163,6496,3209,25,928242539993,9593.211719,
von_koch-random-55-2,0,163,6496,3209,30,935245117299,11943.963573,
von_koch-random-55-2,1,179,7554,3729,25,932255713150,10325.553418,
von_koch-random-55-2,1,179,7554,3729,30,907274841481,12749.098285,
von_koch-random-55-2,2,213,10329,5093,25,913202106760,11467.330748,
von_koch-random-55-2,2,213,10329,5093,30,921539800602,14038.077728,
